City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,maltahohe,-24.8333,16.9833,29.607,32,89,7.7,NA,1675316236
80,guerrero negro,27.9769,-114.0611,28.685000000000002,66,0,0.48,MX,1675316033
81,port augusta,-32.5,137.7667,29.862000000000002,35,1,10.57,AU,1675316236
82,gelemso,8.8167,40.5167,29.306,29,44,2.29,ET,1675316237
83,talnakh,69.4865,88.3972,26.049000000000003,96,100,3.9,RU,1675315994
84,pevek,69.7008,170.3133,25.026,97,25,0.28,RU,1675316237
85,sangareddi,17.6294,78.0917,30.033,21,46,5.3,IN,1675316238
86,cuenca,-2.8833,-78.9833,28.587000000000003,95,96,1.47,EC,1675316238
87,volchikha,52.0333,80.3833,26.681,89,95,2.1,RU,1675316238
88,longyearbyen,78.2186,15.6401,26.106,61,20,8.75,SJ,1675316239
89,chokurdakh,70.6333,147.9167,25.003,99,100,1.97,RU,1675316239
90,cherskiy,68.75,161.3,24.978,100,98,1.41,RU,1675316239
91,tura,25.5198,90.2201,29.974000000000004,20,11,1.14,IN,1675316240
92,ixtapa,20.7,-105.2,29.372000000000003,88,40,0.0,MX,1675316240
93,klaksvik,62.2266,-6.589,27.566000000000003,70,100,8.06,FO,1675316240
94,barrow,71.2906,-156.7887,25.216,77,0,9.26,US,1675316241
95,qaqortoq,60.7167,-46.0333,25.87,92,92,0.34,GL,1675316241
96,lebu,-37.6167,-73.65,28.593000000000004,88,0,8.21,CL,1675316241
97,tasiilaq,65.6145,-37.6368,26.724000000000004,65,100,13.25,GL,1675316242
98,iqaluit,63.7506,-68.5145,23.900000000000002,62,40,1.03,CA,1675316242
99,riohacha,11.5444,-72.9072,29.561000000000003,85,5,4.49,CO,1675316243
100,surin,14.8818,103.4936,30.436000000000003,34,69,1.9,TH,1675316243
101,arraial do cabo,-22.9661,-42.0278,29.715,90,100,2.6,BR,1675316244
102,pacific grove,36.6177,-121.9166,28.24,89,0,2.06,US,1675316244
103,gien,47.6933,2.6309,27.901,85,98,3.12,FR,1675316244
104,saskylakh,71.9167,114.0833,24.491,100,99,2.11,RU,1675316245
105,springbok,-29.6643,17.8865,29.131,47,0,1.44,ZA,1675316245
106,salisbury,51.0693,-1.7957,28.082,86,100,4.63,GB,1675316016
107,siloam springs,36.1881,-94.5405,27.247000000000003,91,0,0.0,US,1675316246
108,sao filipe,14.8961,-24.4956,29.449,73,79,5.73,CV,1675316246
109,ust-barguzin,53.45,108.9833,26.093000000000004,89,100,0.86,RU,1675316246
110,chicama,-7.8447,-79.1469,29.345,71,71,1.48,PE,1675316247
111,balkanabat,39.5108,54.3671,28.138,67,4,1.73,TM,1675316247
112,srednekolymsk,67.45,153.6833,24.081000000000003,99,93,2.67,RU,1675316248
113,andenes,69.3143,16.1194,27.033,86,0,4.63,NO,1675316248
114,souillac,-20.5167,57.5167,30.236000000000004,74,40,2.57,MU,1675316248
115,porvoo,60.3923,25.6651,27.157,94,99,3.08,FI,1675316248
116,veraval,20.9,70.3667,30.002,36,46,3.03,IN,1675316249
117,port-cartier,50.0334,-66.8654,25.897000000000006,99,97,1.42,CA,1675316249
118,galesong,-5.3166,119.3661,30.016000000000005,83,100,5.29,ID,1675316250
119,kavieng,-2.5744,150.7967,30.289,63,96,3.71,PG,1675316250
120,vila velha,-20.3297,-40.2925,29.812,89,75,3.6,BR,1675316250
121,along,28.1667,94.7667,30.061000000000003,29,3,0.95,IN,1675316250
122,husavik,66.0449,-17.3389,26.689999999999998,93,98,4.45,IS,1675316251
123,whitley bay,55.0397,-1.4471,28.304000000000002,88,100,8.75,GB,1675316251
124,mayumba,-3.432,10.6554,29.888,83,75,2.88,GA,1675316251
125,atuona,-9.8,-139.0333,29.923000000000002,80,95,8.47,PF,1675316252
126,cayenne,4.9333,-52.3333,29.517000000000003,100,100,1.54,GF,1675316252
127,kalmunai,7.4167,81.8167,30.052,79,92,4.78,LK,1675316253
128,bengkulu,-3.8004,102.2655,30.256,66,98,4.61,ID,1675316253
129,margate,51.3813,1.3862,27.975,81,86,1.79,GB,1675316210
130,pangody,65.85,74.4859,25.983999999999998,97,81,4.31,RU,1675316254
131,holme,56.1138,10.1725,27.325000000000003,89,12,3.3,DK,1675316254
132,cabo san lucas,22.8909,-109.9124,29.177,72,36,3.86,MX,1675316254
133,santiago,-33.4569,-70.6483,29.695999999999998,43,0,1.54,CL,1675316255
134,kingsville,27.5159,-97.8561,27.629000000000005,99,100,5.14,US,1675316255
135,shikhazany,55.5605,47.393,26.324,87,96,4.43,RU,1675316255
136,ossora,59.2353,163.0719,26.182000000000002,84,99,2.97,RU,1675316256
137,vostok,46.4856,135.8833,25.672000000000004,91,100,5.45,RU,1675316256
138,tuktoyaktuk,69.4541,-133.0374,23.615000000000002,74,75,1.03,CA,1675316256
139,padang,-0.9492,100.3543,30.418000000000003,62,82,3.1,ID,1675316257
140,saint-georges,12.0564,-61.7485,29.597000000000005,83,20,1.03,GD,1675315970
141,garden city,42.3256,-83.331,26.612000000000002,70,40,4.12,US,1675316257
142,luziania,-16.2525,-47.9503,29.198000000000004,87,99,1.99,BR,1675316258
143,san patricio,28.017,-97.5169,27.708,90,100,4.43,US,1675316258
144,hambantota,6.1241,81.1185,29.933999999999997,100,40,1.54,LK,1675316258
145,san quintin,30.4833,-115.95,28.598000000000003,63,0,0.96,MX,1675316259
146,odienne,9.51,-7.5692,29.391000000000005,19,65,0.71,CI,1675316259
147,bathsheba,13.2167,-59.5167,29.849000000000004,69,40,6.17,BB,1675316260
148,sisimiut,66.9395,-53.6735,25.269000000000002,96,100,1.76,GL,1675316261
149,bowen,-20.0167,148.2333,30.320999999999998,74,77,7.59,AU,1675316188
150,kavaratti,10.5669,72.642,30.019000000000002,73,91,4.05,IN,1675316261
151,hasaki,35.7333,140.8333,28.331000000000003,36,100,5.12,JP,1675316261
152,mukhen,48.1,136.1,25.736000000000004,76,97,3.83,RU,1675316262
153,saint george,37.1041,-113.5841,27.607,50,0,1.54,US,1675316262
154,mount isa,-20.7333,139.5,30.201999999999998,48,100,2.57,AU,1675316572
155,carnarvon,-24.8667,113.6333,30.320999999999998,62,41,7.87,AU,1675316572
156,tecoanapa,16.5167,-98.75,29.606,69,0,2.09,MX,1675316572
157,vila franca do campo,37.7167,-25.4333,28.538,85,97,3.6,PT,1675316266
158,chodavaram,17.8333,82.95,30.106,21,60,3.83,IN,1675316266
159,karpogory,64.0019,44.4451,26.142000000000003,97,86,2.38,RU,1675316267
160,horsham,51.064,-0.3272,28.051000000000002,87,0,3.6,GB,1675316267
161,bara,10.3744,10.7288,29.183999999999997,29,26,2.88,NG,1675316267
162,lufilufi,-13.8745,-171.5986,29.703,74,100,7.03,WS,1675316268
163,kodiak,57.79,-152.4072,27.288,80,100,2.57,US,1675316268
164,yangambi,0.8102,24.4336,29.439999999999998,78,89,1.47,CD,1675316268
165,kununurra,-15.7667,128.7333,30.614,58,43,5.66,AU,1675316269
166,meulaboh,4.1363,96.1285,30.243000000000002,63,86,1.92,ID,1675316269
167,road town,18.4167,-64.6167,29.72,75,0,7.92,VG,1675316269
168,cabedelo,-6.9811,-34.8339,29.951999999999998,80,28,3.84,BR,1675316270
169,greenville,35.6127,-77.3663,27.824,94,100,0.0,US,1675316270
170,gamba,-2.65,10.0,29.779000000000003,87,31,1.13,GA,1675316270
171,mbini,1.574,9.6134,29.829000000000004,89,36,1.93,GQ,1675316270
172,aras,42.5617,-2.356,27.239,86,0,3.6,ES,1675316271
173,lata,40.1629,-8.3327,27.637,87,0,1.94,PT,1675316271
174,rio grande,-32.035,-52.0986,29.614,86,11,3.27,BR,1675316271
175,kholodnyy,62.7167,147.95,24.598,100,99,0.31,RU,1675316272
176,hilo,19.7297,-155.09,29.831000000000003,89,100,1.54,US,1675316272
177,caravelas,-17.7125,-39.2481,29.592000000000002,89,65,1.89,BR,1675316272
178,buchanan,5.8808,-10.0467,29.805000000000003,92,11,0.98,LR,1675316273
179,thompson,55.7435,-97.8558,24.224000000000004,57,20,7.2,CA,1675316273
180,havre-saint-pierre,50.2334,-63.5986,26.115,84,75,2.06,CA,1675316273
181,alyangula,-13.8483,136.4192,30.372000000000003,66,100,1.38,AU,1675316274
182,taltal,-25.4,-70.4833,29.338,84,47,0.61,CL,1675316274
183,tanda,26.55,82.65,29.439,40,0,4.16,IN,1675316274
184,kirakira,-10.4544,161.9205,30.108999999999998,82,89,2.32,SB,1675316275
185,the pas,53.8251,-101.2541,24.616,63,0,7.2,CA,1675316275
186,cascavel,-24.9558,-53.4553,29.122000000000003,98,12,2.09,BR,1675316026
187,tarakan,3.3,117.6333,30.187,84,40,1.54,ID,1675316008
188,oruro,-17.9833,-67.15,28.154000000000003,73,45,4.77,BO,1675316221
189,kuldur,49.2167,131.6333,25.5,82,44,4.62,RU,1675316276
190,naples,40.8333,14.25,28.357,79,0,1.54,IT,1675316029
191,hirara,24.8,125.2833,29.430000000000003,78,75,6.69,JP,1675316276
192,sola,-13.8833,167.55,30.118000000000002,70,41,1.2,VU,1675316277
193,nanortalik,60.1432,-45.2371,26.425,84,89,4.96,GL,1675316278
194,avarua,-21.2078,-159.775,29.518,100,40,0.51,CK,1675316278
195,gorele,41.0308,39.0031,27.743000000000002,88,100,3.13,TR,1675316278
196,kruisfontein,-34.0033,24.7314,29.031000000000002,49,71,1.67,ZA,1675316278
197,nouadhibou,20.931,-17.0347,28.814,88,96,6.69,MR,1675316279
198,jiazi,22.8779,116.067,29.223000000000003,69,87,9.47,CN,1675316279
199,ahipara,-35.1667,173.1667,29.6,77,100,2.97,NZ,1675316279
200,olafsvik,64.8945,-23.7142,27.176000000000002,94,100,12.44,IS,1675316280
201,port blair,11.6667,92.75,30.317000000000004,70,40,4.12,IN,1675316280
202,nizhniy kuranakh,58.8353,125.4869,25.585,93,100,4.29,RU,1675316280
203,barrington,41.7407,-71.3087,27.124000000000002,58,0,1.54,US,1675316281
